Título,Enlace,CVs inscritos,Ubicación,Funciones,Jornada,Experiencia,Tipo contrato,Salario Mínimo,Salario Máximo
DevOps Engineer Junior,https://www.tecnoempleo.com/devops-engineer-junior-remoto/devops-linux-windows-jenkins-gitlab-aws-azur/rf-c5431fba022ab31cad44,72,100% En remoto,DevOps,Jornada completa,1 año,Indefinido,,
Devops Engineer (100% remoto),https://www.tecnoempleo.com/devops-engineer-100-remoto-remoto/kubernetes-ansible-terraform-bash-python/rf-ae27152cd24523448a40,19,100% En remoto,DevOps,Jornada completa,2 años,Indefinido,30000,36000
Programador/a RPA UiPath,https://www.tecnoempleo.com/programador-rpa-uipath-remoto/rpa-uipath/rf-381c1702b2dba31e7240,38,100% En remoto,Programador,Jornada completa,2 años,Indefinido,21000,24000
Analista Programador Frontend,https://www.tecnoempleo.com/analista-programador-frontend-remoto/angularjs-typescript-javascript-front/rf-97c8159422ad4365014c,21,100% En remoto,Analista Programador,Jornada completa,3-5 años,Indefinido,36000,39000
Técnico Administrador DBA Oracle,https://www.tecnoempleo.com/tecnico-administrador-dba-oracle-hibrido/oracle-rac-exadata-dataguard-asm/rf-d06310ba82e1f3339e4c,11,Madrid (Híbrido),Base de Datos/DBA,Jornada completa,3-5 años,Indefinido,33000,42000
Desarrollador iOs&Android,https://www.tecnoempleo.com/desarrollador-ios-android-presencial/ios-android-swift-kotlin-objective-c-/rf-0e6715dc123e23c16049,8,Barcelona (Presencial),Desarrollador Móvil,Jornada completa,Más de 5 años,Indefinido,42000,54000
Ingeniero Senior desarrollo C/C++,https://www.tecnoempleo.com/ingeniero-senior-desarrollo-c-c-remoto/c-c-ada-sql-git-jira/rf-788818c9b289537e204c,28,100% En remoto,Analista Programador,Jornada completa,Más de 5 años,Indefinido,39000,45000
Ingeniero Desarrollo C/C++,https://www.tecnoempleo.com/ingeniero-desarrollo-c-c-hibrido/c-c-rest-git-jira-jenkins-docker-kubernet/rf-4129177bc2125377724e,14,Madrid (Híbrido),Programador,Jornada completa,2 años,Indefinido,27000,33000
Técnico/a monitorización noches,https://www.tecnoempleo.com/tecnico-monitorizacion-noches-presencial/centreon-jira-ticketing-mremote-h/rf-613a13ddf21a33eeb343,5,Barcelona (Presencial),Técnico Software,Por horas,1 año,Temporal,,
Master Planning Team para TMO,https://www.tecnoempleo.com/master-planning-team-para-tmo-hibrido/agile/rf-d0651d86624f7320f94a,8,Madrid (Híbrido),Jefe de Equipo,Jornada completa,Más de 5 años,Indefinido,72000,76000
Programadores y Analistas Java,https://www.tecnoempleo.com/programadores-analistas-java-remoto/java-spring-hibernate-jpa-maven-sql-gi/rf-4216123e423583b86846,101,100% En remoto,Analista Programador,Jornada completa,3 años,Indefinido,30000,36000
Analista Teradata PL/SQL,https://www.tecnoempleo.com/analista-teradata-pl-sql-remoto/teradata-pl-sql-oracle-sql-pwc/rf-13ac1deab28873e53244,4,100% En remoto,Analista,Jornada completa,3 años,Indefinido,30000,36000
Analista Programador Java / ABSIS,https://www.tecnoempleo.com/analista-programador-java-absis-remoto/java-absis-oracle-pl-sql-spring-bat/rf-c29c1171a20ad3eefb4b,19,100% En remoto,Analista Programador,Jornada completa,Más de 5 años,Indefinido,39000,42000
Programador/a Python / Django,https://www.tecnoempleo.com/programador-python-django-remoto/python-django-git-microservicios/rf-b34111c2624a83589d43,35,100% En remoto,Analista Programador,Jornada completa,3-5 años,Indefinido,30000,36000
Consultor/a IA Microsoft,https://www.tecnoempleo.com/consultor-ia-microsoft-presencial/microsoft-copilot/rf-94e21ee4c2387316564a,4,Madrid (Presencial),Consultor,Jornada completa,3-5 años,Indefinido,36000,39000
Ingeniero/ra de datos Azure,https://www.tecnoempleo.com/ingeniero-ra-datos-azure-remoto/azure-etls-databricks-synapse-sql-github-j/rf-48cf1d27528dd328144c,4,100% En remoto,Big Data,Jornada completa,3-5 años,Indefinido,36000,39000
Técnica/o Microinformático Microsoft,https://www.tecnoempleo.com/tecnica-o-microinformatico-microsoft-presencial/microsoft-windows/rf-11621014d213c35d1d44,72,Madrid (Presencial),Helpdesk,Jornada completa,1 año,A determinar,,
Analistas Programadores Drupal,https://www.tecnoempleo.com/analistas-programadores-drupal-remoto/drupal-javascript-css-bootstrap-jira/rf-5b931e6412fdb36c874f,19,100% En remoto,Analista Programador,Jornada completa,3 años,Indefinido,27000,36000
Desarrollador/a java y sql,https://www.tecnoempleo.com/desarrollador-java-sql-remoto/java-sql-spring/rf-6ff81aa9421c73d37b42,90,100% En remoto,Desarrollador Web,Jornada completa,2 años,Indefinido,,
Desarrollador/a Frontend con JavaScript,https://www.tecnoempleo.com/desarrollador-frontend-con-javascript-hibrido/javascript-jquery-html-css/rf-62f11545922f73d0ce4e,40,Madrid (Híbrido),Analista Programador,Jornada completa,Más de 5 años,Indefinido,30000,36000
Ingeniero/a C++,https://www.tecnoempleo.com/ingeniero-c-presencial/c-c-i-d/rf-ab2814a3122a93702e41,32,Madrid (Presencial),Programador,Jornada completa,1 año,Indefinido,,
Desarrollador Senior Power BI,https://www.tecnoempleo.com/desarrollador-senior-power-bi-remoto/bi-power-bi-dax-studio-azure/rf-e5941a0c82bb73498b48,63,100% En remoto,Big Data,Jornada completa,3 años,Indefinido,,
Técnico de Soporte nivel 1,https://www.tecnoempleo.com/tecnico-soporte-nivel-1-hibrido/remedy-bmc/rf-aaa9189b1243438c7b43,43,Málaga (Híbrido),Helpdesk,Jornada completa,1 año,Indefinido,15000,16000
Desarrollador/a data Java,https://www.tecnoempleo.com/desarrollador-data-java-remoto/java-sql-spark/rf-dcb81c2dd28a3353f64b,7,100% En remoto,Analista Programador,Jornada completa,3 años,Indefinido,33000,45000
Administrador/a sharepoint,https://www.tecnoempleo.com/administrador-sharepoint-hibrido/sharepoint-microsoft/rf-264218fed2d2d332934f,5,Madrid (Híbrido),Administrador,Jornada completa,3 años,Indefinido,24000,33000
Ingeniero de Datos Junior AWS,https://www.tecnoempleo.com/ingeniero-datos-junior-aws-hibrido/aws-snowflake-python/rf-afbc16ab32f6a37ac648,2,Barcelona (Híbrido),Analista,Jornada completa,1 año,Indefinido,27000,30000
Integration Engineer (100% Remoto),https://www.tecnoempleo.com/integration-engineer-100-remoto-remoto/oauth-open-id-connect-restful-web-s/rf-8a7014a9026f535dd348,8,100% En remoto,I+D,Jornada completa,1 año,Indefinido,33000,39000
Programador/a SAP ABAP (SD-MM),https://www.tecnoempleo.com/programador-sap-abap-sd-mm-remoto/sap-abap-sap-sd-sap-mm/rf-5de11676e2d4c32cac42,3,100% En remoto,Analista Programador,Jornada completa,Más de 5 años,Indefinido,30000,42000
Programador/a Senior Java,https://www.tecnoempleo.com/programador-senior-java-remoto/java/rf-18c51df9423cc315314f,7,100% En remoto,Programador,Jornada completa,Más de 5 años,Indefinido,16000,39000
Desarrollador/a HCL DXP - ECOMMERCE,https://www.tecnoempleo.com/desarrollador-hcl-dxp-ecommerce-remoto/oracle-silcon/rf-cf1c1cd2628283e7c546,3,100% En remoto,Analista Programador,Jornada completa,2 años,Indefinido,30000,54000
Engineer Senior Java Teletrabajo,https://www.tecnoempleo.com/engineer-senior-java-teletrabajo-remoto/java-spring-boot-rest-api-spring/rf-6a8011832248e3d06046,8,100% En remoto,Analista Programador,Jornada completa,3-5 años,Indefinido,,
Programador/a java reports,https://www.tecnoempleo.com/programador-java-reports-hibrido/java-jasper-spring/rf-674b1552425383ad4e44,2,Madrid (Híbrido),Analista Programador,Jornada completa,3 años,Indefinido,30000,48000
Analista Programador/a Java ¡Remoto!,https://www.tecnoempleo.com/analista-programador-java-remoto-remoto/java-spring-microservicios/rf-91821e9af29693c8944e,2,100% En remoto,Analista Programador,Jornada completa,3-5 años,Indefinido,24000,39000
Manager Swift e ISO20022,https://www.tecnoempleo.com/manager-swift-e-iso20022-hibrido/swift-iso/rf-39091a7272988366c943,2,Madrid (Híbrido),Jefe de Equipo,Jornada completa,2 años,Indefinido,30000,42000
Analista Senior Front (Angular). Teletrabajo,https://www.tecnoempleo.com/analista-senior-front-angular-teletrabajo-madrid/angular-ddr-dds-typescrip/rf-c3fa1b32627103bc0942,8,"Madrid											
											 - España",Desarrollador Web,Jornada completa,3 años,Indefinido,,
SAP Support Specialist (Inglés C1). Teletrabajo,https://www.tecnoempleo.com/sap-support-specialist-ingles-c1-teletrabajo-madri/sap-ariba/rf-5f9e1f17a2571340f44a,1,"Madrid											
											 - España",Analista Programador,Jornada completa,3 años,Indefinido,,
Gestor Proyectos,https://www.tecnoempleo.com/gestor-proyectos-hibrido/apigee-ia-rpa-bpm/rf-4fe41e91d24fc3263d4a,11,A Coruña (Híbrido),Analista,Jornada completa,Más de 5 años,Indefinido,,
Programador/a Backend-Microservicios,https://www.tecnoempleo.com/programador-backend-microservicios-remoto/java-springboot-hibernate-jpa-ju/rf-b19d1a1d728543cc1b45,10,100% En remoto,Programador,Jornada completa,3 años,Indefinido,36000,39000
Devops Infraestructura (Kubernetes) Teletrabajo,https://www.tecnoempleo.com/devops-infraestructura-kubernetes-teletrabajo-madr/aws-azure-terraform-kub/rf-9d8d116eb25003587c46,2,"Madrid											
											 - España",DevOps,Jornada completa,3 años,Indefinido,,
Técnico Junior Sistemas,https://www.tecnoempleo.com/tecnico-junior-sistemas-hibrido/windows-windows-server-esxi-vpn-fortinet-v/rf-a640146292b39396de4a,12,Bizkaia (Híbrido),Técnico de Sistemas,Jornada completa,1 año,Indefinido,,
FullStack Developer (Inglés C1). Teletrabajo,https://www.tecnoempleo.com/fullstack-developer-ingles-c1-teletrabajo-madrid/java-springboot-angular/rf-80c51728e2044342a34b,11,"Madrid											
											 - España",Desarrollador Web,Jornada completa,3 años,Indefinido,,
Técnico de CRM,https://www.tecnoempleo.com/tecnico-crm-madrid/tableau-qlick-view-power-bi-sql/rf-d77512f622faf3baf74d,3,"Madrid											
											 - España",Marketing,Jornada completa,3 años,Indefinido,,
3rd Line Support Engineer - Only LATAM Remote,https://www.tecnoempleo.com/3rd-line-support-engineer-only-latam-remote-remoto/windows/rf-b39b1a45a23273ed0a45,18,100% En remoto,Helpdesk,Jornada completa,3-5 años,Freelance/Autónomo,,
Técnico Almacenamiento y virtualización,https://www.tecnoempleo.com/tecnico-almacenamiento-virtualizacion-madrid/san-nas/rf-462a1d6a927913a4d94b,2,"Madrid											
											 - España",Técnico de Sistemas,Jornada completa,3 años,Indefinido,,
Analista programador/a Java,https://www.tecnoempleo.com/analista-programador-java-hibrido/java-javascript-j2ee/rf-299615cae20ef387b442,3,Madrid (Híbrido),Programador,Jornada completa,2 años,Indefinido,27000,30000
Consultor/a JAVA,https://www.tecnoempleo.com/consultor-java-hibrido/java-jee-spring-hibernate/rf-fdde152352751311b14d,1,Madrid (Híbrido),Consultor,Jornada completa,Más de 5 años,Indefinido,42000,54000
Ingeniero senior de redes IP,https://www.tecnoempleo.com/ingeniero-senior-redes-ip-madrid/redes-huawei/rf-d62917545272b3067a4d,4,"Madrid											
											 - España",Redes,Jornada completa,3 años,Indefinido,,
Programador/a .NET,https://www.tecnoempleo.com/programador-net-hibrido/net-c/rf-91b51004c23a93cca64b,4,Madrid (Híbrido),Programador,Jornada completa,3-5 años,Indefinido,36000,42000
Frontend Developer / Team Lead,https://www.tecnoempleo.com/frontend-developer-team-lead-barcelona/react-css-node/rf-0fed175bf2110357ee49,3,"Barcelona											
											 - España",Programador,Jornada completa,3 años,Indefinido,,
Consultor/a SAP,https://www.tecnoempleo.com/consultor-sap-madrid/sap/rf-a1b31de492acb30ebb4e,4,"Madrid											
											 - España",Consultor,Jornada completa,3-5 años,Indefinido,36000,42000
Java Developer (Tiger Team),https://www.tecnoempleo.com/java-developer-tiger-team-hibrido/java-spring-gcp-aws/rf-f64f1e0b12ed6329cc4c,1,Barcelona (Híbrido),Programador,Jornada completa,3 años,Indefinido,,
Head of Insights Analytics,https://www.tecnoempleo.com/head-of-insights-analytics-barcelona/tableau-sql-google-sheets-seo/rf-360619c6d2a0a3cafe4b,1,"Barcelona											
											 - España",Marketing,Jornada completa,Más de 5 años,Indefinido,,
Ingeniero de Soporte,https://www.tecnoempleo.com/ingeniero-soporte-hibrido/microinformatica-windows/rf-f222184a721833827c4e,2,Barcelona (Híbrido),Soporte Técnico,Jornada completa,3 años,Indefinido,,
Programador Java / backend developer,https://www.tecnoempleo.com/programador-java-backend-developer-hibrido/java-microservicios-spring-boot/rf-04d313f6d26d738e9b4d,7,Madrid (Híbrido),Programador,Jornada completa,3 años,Indefinido,27000,36000
Golang Developer (Core Team),https://www.tecnoempleo.com/golang-developer-core-team-barcelona/go-golang-nosql-linux-php/rf-408212eb822173a9b44d,0,"Barcelona											
											 - España",Programador,Jornada completa,3 años,Indefinido,,
Ingeniero de Telecomunicaciones (Soporte L2-5G),https://www.tecnoempleo.com/ingeniero-telecomunicaciones-soporte-l2-5g-presenc/5g-osi-nokia/rf-862f1ad2021e136fa34f,7,Madrid (Presencial),Soporte Técnico,Jornada completa,3 años,Indefinido,,
Cloud DevOps Engineer,https://www.tecnoempleo.com/cloud-devops-engineer-remoto/terraform-docker-kubernetes-python/rf-18b0148c02d8d335104e,8,100% En remoto,DevOps,Jornada completa,3-5 años,Indefinido,45000,60000
Product Marketing Manager (Local Unit),https://www.tecnoempleo.com/product-marketing-manager-local-unit-barcelona/marketing-seo/rf-e5291060827143c02b4f,1,"Barcelona											
											 - España",Marketing,Jornada completa,3-5 años,Indefinido,,
Data Scientist (Honey Team),https://www.tecnoempleo.com/data-scientist-honey-team-barcelona/python-nlp-gpt-claude-ai-gemini/rf-92851f38827d538b2f42,3,"Barcelona											
											 - España",Big Data,Jornada completa,3 años,Indefinido,,
Data Analyst,https://www.tecnoempleo.com/data-analyst-presencial/data-etl-sql-excel-bi/rf-cdfc1190824ef3488348,9,Madrid (Presencial),Analista,Jornada completa,1 año,Indefinido,,
Fullstack Developer (Raspberry Team),https://www.tecnoempleo.com/fullstack-developer-raspberry-team-barcelona/javascript-typescript-react-h/rf-9bfc11a952bc43314343,4,"Barcelona											
											 - España",Programador,Jornada completa,3 años,Indefinido,,
Python Backend Engineer,https://www.tecnoempleo.com/python-backend-engineer-malaga/python-flask-fastapi/rf-11c012cf320b53759a4e,4,"Málaga											
											 - España",Programador,Jornada completa,3 años,Indefinido,42000,60000
Consultor de Transformación Digital,https://www.tecnoempleo.com/consultor-transformacion-digital-badajoz/scrum-kanban/rf-a89e1ab0e2a5f3956c48,1,"Mérida -  
											
											Badajoz											
											 - España",Consultor,Jornada completa,3 años,Indefinido,,
Machine Learning Engineer (DS Team),https://www.tecnoempleo.com/machine-learning-engineer-ds-team-barcelona/python-sql-machine-learning-ml/rf-03301ca1e2eb034b844f,3,"Barcelona											
											 - España",Inteligencia Artificial/Machine Learning,Jornada completa,3 años,Indefinido,,
Programador/a Java,https://www.tecnoempleo.com/programador-java-hibrido/java-j2ee/rf-6ee4116db218336ce448,9,Madrid (Híbrido),Programador,Jornada completa,1 año,Indefinido,24000,27000
Junior Project Manager,https://www.tecnoempleo.com/junior-project-manager-presencial/project-manager/rf-f79f1aa30208336f1549,7,Madrid (Presencial),Jefe de Proyecto,Jornada completa,1 año,Indefinido,,
Desarrollador Java con Springboot,https://www.tecnoempleo.com/desarrollador-java-con-springboot-remoto/java-spring-postgresql-junit-jdbc/rf-fca61b25d2e0e3d41e4b,54,100% En remoto,Programador,Jornada completa,3-5 años,Indefinido,36000,36000
Analista Funcional Visual Basic SQL,https://www.tecnoempleo.com/analista-funcional-visual-basic-sql-remoto/vbnet-sql-oracle/rf-5e7212cdf2af63b94b45,22,100% En remoto,Analista,Jornada completa,Más de 5 años,Indefinido,,
Técnico/a de Microsoft,https://www.tecnoempleo.com/tecnico-microsoft-hibrido/microsoft-exchange-windows/rf-2a1a13d1820c736bf248,11,Madrid (Híbrido),Técnico de Sistemas,Jornada completa,Más de 5 años,Temporal,,
FullStack Developer. Inglés C1,https://www.tecnoempleo.com/fullstack-developer-ingles-c1-remoto/angular-java-javascript/rf-91b31e38e295d359d24b,7,100% En remoto,Analista Programador,Jornada completa,3 años,Indefinido,36000,42000
Programador Delphi,https://www.tecnoempleo.com/programador-delphi-valencia/delphi-windows-mysql/rf-040215bb1245839c1445,3,"Valencia											
											 - España",Analista Programador,Jornada completa,1 año,Indefinido,15000,24000
Senior Architect MRO,https://www.tecnoempleo.com/senior-architect-mro-hibrido/aws-ec2-s3-lambda-rds-vpc-iam-cloud-data-terr/rf-79f51a23b23853439b45,2,Barcelona (Híbrido),Arquitecto TIC,Jornada completa,Más de 5 años,Indefinido,,
Ingeniero/a Networking N2 -CCNP,https://www.tecnoempleo.com/ingeniero-networking-n2-ccnp-madrid/networking-cisco-cisco-aci-wifi-meraki/rf-124a13d4c22bb3c00544,10,"Madrid											
											 - España",Redes,Jornada completa,3 años,Indefinido,33000,39000
Planificación Productiva Industrial,https://www.tecnoempleo.com/planificacion-productiva-industrial-toledo/microsoft-office-navision/rf-c10b19a9b23723ae584e,0,"Quintanar De La Orden -  
											
											Toledo											
España",Ingenieros/Industria,Jornada completa,1 año,Indefinido,,
Consultor Oracle Essbase,https://www.tecnoempleo.com/consultor-oracle-essbase-remoto/oracle-essbase/rf-632b18a4226523f4fb43,2,100% En remoto,Consultor,Jornada completa,2 años,Indefinido,24000,30000
PMO Junior,https://www.tecnoempleo.com/pmo-junior-hibrido/pmo-agile-waterfall/rf-e81c1c0d52ece3e2f543,43,Barcelona (Híbrido),Jefe de Proyecto,Jornada completa,2 años,Indefinido,,
Técnicos Sistemas Cloud Terraform,https://www.tecnoempleo.com/tecnicos-sistemas-cloud-terraform-hibrido/terraform-aws-eks/rf-b49e186a62e7a3c89543,9,Madrid (Híbrido),Técnico de Sistemas,Jornada completa,1 año,Indefinido,21000,24000
Manager Azure con Inglés Alto,https://www.tecnoempleo.com/manager-azure-con-ingles-alto-remoto/azure-ia/rf-146d1faff20713df734a,6,100% En remoto,Inteligencia Artificial/Machine Learning,Jornada completa,2 años,Indefinido,30000,42000
Systems Administrator/SysOps,https://www.tecnoempleo.com/systems-administrator-sysops-presencial/linux-python-docker-ci-cd/rf-25411edfd26bf3b60e47,5,Barcelona (Presencial),Técnico de Sistemas,Jornada completa,2 años,Indefinido,36000,45000
